feature,mean_abs_shap
Comptes_A14,1.7654093804493298
Montant_credit,1.1606257015335155
Duree_credit,0.9568512287944175
Historique_credit_A34,0.674783601569155
Epargne,0.6246149643634674
Anciennete_emploi,0.6016900161877466
Age,0.47107324708871123
Autres_credits_A143,0.4710094447301066
Objet_credit_A41,0.4121820217657089
Objet_credit_A43,0.36450613438154206
Taux_effort,0.3404266929124973
Biens_A124,0.2713325441231262
Telephone_A192,0.24786805091544725
Comptes_A12,0.21495615351103353
Situation_familiale_A93,0.20355677215354062
Statut_domicile_A152,0.1921992692114847
Anciennete_domicile,0.18122204023654706
Situation_familiale_A92,0.17565252693038627
Objet_credit_A46,0.1527206197124639
Type_emploi_A173,0.14954411607598986
Nb_credits,0.1367217557118955
Historique_credit_A32,0.13495283683224626
Comptes_A13,0.09902803957445777
Biens_A123,0.09561394768159412
Statut_domicile_A153,0.08516396091257156
Historique_credit_A33,0.08507040348697542
Nb_pers_charge,0.08032349680199394
Biens_A122,0.07600583759701443
Type_emploi_A174,0.07044237949661963
Objet_credit_A42,0.06312982243161974
Historique_credit_Other,0.0591483203065835
Objet_credit_A49,0.05806147837767409
Garanties_Other,0.05111339284794189
Etranger_Other,0.0320314076033988
Autres_credits_Other,0.02085290186505058
Situation_familiale_A94,0.010327581877768256
Objet_credit_Other,0.004307702571069826
Type_emploi_Other,0.0
