feature,mean_abs_shap
Comptes_A14,0.08327484263330154
Duree_credit,0.04304204452080617
Historique_credit_A34,0.025300340785365572
Anciennete_emploi,0.023199151279110878
Montant_credit,0.02253813808132803
Epargne,0.018825092365187576
Taux_effort,0.015652125209556958
Autres_credits_A143,0.015542904861492332
Statut_domicile_A152,0.01416113022916777
Biens_A124,0.013155844431840546
Objet_credit_A43,0.01291569006332974
Age,0.012084342958082079
Situation_familiale_A93,0.009956971162120368
Situation_familiale_A92,0.006342570615668305
Telephone_A192,0.006123988573016311
Objet_credit_A41,0.0055538472794394896
Comptes_A12,0.004889942781012908
Historique_credit_Other,0.0040322581436770585
Objet_credit_A46,0.0035611110336521744
Biens_A123,0.0034293025243277253
Nb_credits,0.002591563775845534
Anciennete_domicile,0.002515222623836278
Comptes_A13,0.0023350763737194132
Historique_credit_A32,0.0019246254067110428
Type_emploi_A173,0.001872272166316858
Statut_domicile_A153,0.0017717569541855543
Objet_credit_A42,0.0014294397267377002
Historique_credit_A33,0.0014073362328556505
Biens_A122,0.001341083663243038
Nb_pers_charge,0.0013326251316992002
Type_emploi_A174,0.001299557967850355
Etranger_Other,0.0012502112377320372
Garanties_Other,0.0010648220005836746
Situation_familiale_A94,0.0007701892777598991
Objet_credit_A49,0.000698302056495813
Autres_credits_Other,0.000302786067292169
Objet_credit_Other,0.00020359153001678402
Type_emploi_Other,0.0001467918970845481
